Chat_Happening_NOTHING |= 별다른 일이 일어나지 않았어.
Chat_Happening_FNFWORKER[J] |= 아직 할 일이 조금 더 남았지만, 잘하고 있어!
Chat_Happening_FNFWORKER[J] |= 이 구조물을 두드리는 재미가 쏠쏠해!
Chat_Happening_FNFWORKER[J] |= 창조의 기쁨!

Chat_Happening_FNFWORKER[C] |= 도와달라고 부탁한 작업을 진행 중이야...
Chat_Happening_FNFWORKER[C] |= 도와주려고 허리에 무리를 하고 있어. 내가 널 좋아해서 다행이야!
Chat_Happening_FNFWORKER[C] |= 엄지 손가락에서 파편을 빼고 있어.
Chat_Happening_FNFWORKER[C] |= 작업 곡을 흥얼거리고 있었어. 누군가 나한테 닥치라고 소리치더군.
Chat_Happening_FNFWORKER[C] |= 무슨 일?! 무슨 일이냐고요?! 무슨 일인지 말해줄게! 어, 깜빡했네.
Chat_Happening_FNFWORKER[C] |= 예술적 차이. 난 빨간색으로 칠하고 싶은데 다른 사람들은 평평하게 칠하고 싶어해.

Chat_Happening_FNFWORKER[B] |= 대단한 일이 일어나고 있네, 그게 바로 그거야.
Chat_Happening_FNFWORKER[B] |= 꽤 잘 올라가고 있어. 최종 결과에 만족할 거야.
Chat_Happening_FNFWORKER[B] |= 나중에 더 열심히 할 수 있도록 열심히 연습하고 있어. 그게 우리 이끼 낀 돌이 굴러가는 방식이지.
Chat_Happening_FNFWORKER[B] |= 재능을 계속 흐트러뜨리면 아무 일도 일어나지 않아.
Chat_Happening_FNFWORKER[B] |= 얼마 안 있으면 이 아름다움의 리본을 자를 수 있을 거야.
Chat_Happening_FNFWORKER[B] |= 멋진 건물을 짓고 있어.
Chat_Happening_FNFWORKER[B] |= 나는 지금 제 놀라운 건축 기술을 뽐내고 있어.

Chat_Happening_Totem |= <VAR1>에 있다가 덤불 속에서 홉을 봤어! 어두운 숲 너머를 배회하고 있어!
Chat_Happening_Totem |= <VAR1>에 토템이 하나 있어. 네가 처리할 수 있을 것 같아!
Chat_Happening_Totem |= <VAR1>에 홉이 출몰하고 있어. 작은 벌레들이 모든 자원을 빨아들이고 있어!
Chat_Happening_Totem |= <VAR1>에서 할망을 봤어. 소름이 돋더라! 도망치면서 주문을 외우는 소리를 들었어.
Chat_Happening_Totem |= <VAR1>에 이상한 구조물이 있다고 들었어. 그 곳에 채집하러 가면 조심해야 할 것 같아. 분명히 아무것도 자라지 않았고 분위기가 안 좋았어.
Chat_Happening_Totem |= <VAR1>에 어두운 토템이 있어! 홉이 모든 것을 가져가고 있어! 여기로 오지 않았으면 좋겠어!
Chat_Happening_Totem |= <VAR1>에 있는 저 사악한 것을 없애는 게 좋을 것 같아. 문제를 일으키고 비둘기들을 화나게 하고 있어.
Chat_Happening_Totem |= <VAR1>에서 홉에 대해 들었어? 걱정스러운 시기야.
Chat_Happening_Totem |= 요즘 안 좋은 일들이 일어나고 있어. 전 세계 곳곳에서 공포감이 감돌고 있어. <VAR1>에 무슨 일이 생겼다고 들었어. 나한테 파이프가 있다면 두드리며 고개를 절레절레 흔들고 싶네.
Chat_Happening_Totem |= 넌 몬스터와 잘 싸우는구나, 그렇지? 어쨌든 <VAR1>으로 가서 저 망할 홉들을 정리해줘!
Chat_Happening_Totem |= 홉이 풀려나고 포털을 통해 들어와서 채소를 훔쳐가고 있어! 심지어 내 물통에 똥까지 쌌어. 이제 <VAR1>을 약탈하고 있다고 들었어. 누군가 저놈들 눈알을 뽑고 등짝을 벗겨서 파인쉐이드 다리로 데려가야겠어! 만세!
Chat_Happening_Totem |= <VAR1> 방식으로 문제를 해결해. 도둑 홉과 무시무시한 저주. 나쁜 주주...
Chat_Happening_Totem |= 땅이 요동치고 있어. 나쁘게 휘젓고 있어! 공기에서 느낄 수 있어. 한 상인이 <VAR1>에 괴물들이 돌아다니며 온갖 골칫거리를 일으키고 있다고 말했어.

Chat_Happening_HOMELESS |= 친구나 가족을 불러서 내 집을 수리해 주었으면 좋겠어.
Chat_Happening_HOMELESS |= 홉이 내 집을 공격해 망가뜨려서 긴급 대피소에 머물고 있어. 집을 고치는 걸 도와줄 수 있을까?
Chat_Happening_HOMELESS |= 노숙자 생활을 하고 있어. 홉으로 인해 망가진 집을 수리해줄 사람이 필요해.
Chat_Happening_HOMELESS |= 언제쯤 파괴된 집으로 돌아갈 수 있을지 궁금해. 대피소는 괜찮지만 빨리 돌아가야 해.
Chat_Happening_HOMELESS |= 홉이 덤불에서 나와 내 집을 부숴버렸어. 지금은 비상 대피소에서 생활하고 있어. 홉의 공격은 언제 끝나?
Chat_Happening_HOMELESS[P] |= 홉들이 우리 집을 부수는 동안 여신들은 다른 곳을 보고 있는 게 틀림없어. 내가 뭘 잘못했을까? 언제 끝나는거야?
Chat_Happening_HOMELESS[P] |= 망가진 내 집을 수리해 주는 사람은 복을 받을 거야. 다시 돌아갈 수 있으면 좋겠어.
Chat_Happening_HOMELESS[P] |= 비상 대피소도 좋지만, 오팔을 기반으로 한 건 아니잖아. 내 집이 여신들과 훨씬 더 가깝지만 지금은 거기서 살 수 없어.
Chat_Happening_HOMELESS[P] |= 아까 파괴된 집을 지나쳐 산책하러 갔어. 그런 모습을 보니 마음이 아팠어. 아마 여신들이 다시 고쳐줄 사람을 찾아주실 거야.
Chat_Happening_HOMELESS[P] |= 더 좋은 제물을 바칠 걸 그랬어. 그래서 홉이 내 집을 부수고 노숙자로 만들었나 봐.
Chat_Happening_HOMELESS[Q] |= 집에 돌아와서 홉이 부수지 않았고, 불 옆에서 책을 읽고 있는 척하고 있어.
Chat_Happening_HOMELESS[Q] |= 노숙자가 되어 시릴과 함께 비상 대피소에서 생활하는 일이 벌어졌어.
Chat_Happening_HOMELESS[Q] |= 홉에게 피해를 입은 내 집을 수리해줄 사람을 구하려면 어떻게 해야 할지 궁금해. 구걸하거나, 애원하거나, 재버워크로 분장해야할까?
Chat_Happening_HOMELESS[Q] |= 망치와 나무를 가진 친구가 더 있었으면 좋겠다는 생각이 드는 날이야. 내 집을 고치려고.
Chat_Happening_HOMELESS[Q] |= 쉿! 들려? 응, 맞아. 아무도 내 집을 고치려고 서두르지 않는 소리야!
Chat_Happening_HOMELESS[J] |= 노숙자 신세지만 시릴의 긴급 대피소에 살면서도 기운을 유지하고 있어. 홉 때문이지. 그들이 그곳을 부숴버렸고, 이제 나는 노숙자가 되었어.
Chat_Happening_HOMELESS[J] |= 긴급 대피소에서 생활하는 건 너무 지루해. 그래도 선술집과 가까워서 다행이네!
Chat_Happening_HOMELESS[J] |= 유쾌함이 사라졌어. 홉이 내 집을 부수기로 했는데 어떻게 유쾌할 수 있겠어? 그들은 유머 감각이 없어.
Chat_Happening_HOMELESS[J] |= 나는 홉의 공격을 받았어도 기운을 내려고 노력중이야. 이런 일이 점점 더 자주 일어나고 있는데 내가 운이 나빴던 것 같아. 비상 대피소에서 정신을 차리려고 노력 중이야. 내 집을 수리해줄 사람이 있으면 좋겠어.
Chat_Happening_HOMELESS[J] |= 내 농담책이 모두 집에 돌아왔어. 맞아, 그 집은 홉의 공격으로 인해 부서져서 들어가기에 안전하지 않아.
Chat_Happening_HOMELESS[B] |= 나는 노숙자지만 긴급 대피소를 포함해 어디든 환영이야. 물론 시릴이 가장 편한 침대를 찾아줬어.
Chat_Happening_HOMELESS[B] |= 홉이 내 집을 습격했어. 퀼에서 가장 좋은 집이거든. 이 주변의 다른 판잣집들을 귀찮게 할 이유가 없지 않겠어? <플레이어이름>, 예전 영광을 되찾을 수 있게 도와줄수 있을까?
Chat_Happening_HOMELESS[B] |= 내가 이 동네에서 중요한 존재인 걸 아는 홉들이 내가 쇼핑하는 동안 내 집을 부숴버렸어. 작은 짐승들. 내 집을 수리해서 다시 돌려줄 수 있을까?
Chat_Happening_HOMELESS[B] |= 폭풍 전야의 고요. 홉이 나를 공격했다는 소식을 듣고 마을 사람들이 달려와 집 수리를 도와주려고 해.
Chat_Happening_HOMELESS[B] |= 비상 대피소에서 나에게 모두를 격려를 보내지만, 집으로 돌아갈 수 있도록 누군가 도와줬으면 좋겠어. 마을 주민 몇 명에게 부탁하면 금방 수리해줄 수 있을 거야.
Chat_Happening_HOMELESS[C] |= 왜 나지? 왜 내 집을 부쉈을까? 그리고 왜 아직 아무도 고치러 가지 않는 걸까, <PlayerName>?
Chat_Happening_HOMELESS[C] |= 집에 돌아가고 싶지만 홉들이 집을 부숴버렸어. 비상 대피소에 머무는 것도 지쳤어.
Chat_Happening_HOMELESS[C] |= 무슨 일이야, <PlayerName>? 시릴의 비상 대피소 침대에서 하룻밤을 더 자면 허리가 아파서 못 견디겠어. 울퉁불퉁해! 우리 집을 고쳐줄 수 있어?
Chat_Happening_HOMELESS[C] |= 아무 일도 일어나지 않고 있어, <PlayerName>. 그게 문제야. 내 집이 사람이 살 수 없는 상태라서 고쳐줄 사람이 필요해.
Chat_Happening_HOMELESS[C] |= 무슨 일이야? 홉이 망친 내 집을 고쳐줄 친구들이 필요해. 너 같은 사람말이야, <PlayerName>!



Chat_Happening_Tip |= 인생의 진척도를 확인하고 있었어. 진행 화면에서 언제든지 너의 상태를 확인할 수 있어. 만족스러울 수도 있지.
Chat_Happening_Tip |= 다른 마을 사람들과 수다를 떨며 수집한 아이템의 별 등급을 높이려고. 더 좋은 아이템을 얻기 위해 필요한 조건을 확인하는 것이 좋아. 동료 마을 사람들은 훌륭한 팁의 원천이지.
Chat_Happening_Tip |= 지도를 만들고 있었어. 지도는 길을 찾고 지인들이 어디에 사는지 확인하는 데 도움이 되지. 데이트 장소도 표시할 수 있어!
Chat_Happening_Tip |= 아까 낫을 사용하다가 갑자기 수확량이 늘어났어! 이런 도구들은 사용하면 정말 효율적으로 사용할 수 있어!
Chat_Happening_Tip |= 친구들의 생일을 모두 고려하고 있었어. 우정을 위해 선물을 주는 것은 언제나 최고의 방법이지! 친구들은 날짜를 기억해 주면 정말 좋아하거든.
Chat_Happening_Tip |= 다양한 도구를 살펴보고 있었어. 사용하면 할수록 기능이 향상되고 다양한 혜택이 주어지지. 배낭에 있는 도구들을 살펴보고 얼마나 좋은지 확인해 봐.
Chat_Happening_Tip |= 재능에 대해 생각하고 있었어. 우리 모두는 재능을 가지고 있지. 특히 가족이라면 언젠가 자신에게 도움이 될 수 있는 재능을 발견하는 것이 좋아.
Chat_Happening_Tip |= 몇 가지 작업을 하고 있어. 잊어버리고 싶지 않은 작업은 일지에 고정해 두면 도움이 돼.
Chat_Happening_Tip |= 다양한 사람들과 우정을 쌓으려고 노력하고 있어. 그들의 농작물 밭과 베리 덤불에 접근하고 싶어하지! 어쩌면 그들과 데이트하고 결혼하고 싶을지도 몰라!
Chat_Happening_Tip |= 개에게 땅굴을 찾게 하려고 했는데 기분이 안 좋은 것 같더라고.
Chat_Happening_Tip |= 잡화점에 가서 물건을 팔아볼까 생각 중이야. 구석에 있는 판매 셀에는 대량으로 판매하기에 좋거든.
Chat_Happening_Tip |= 아연 광석을 찾았어. 광석에 따라 만드는 물건에 다른 효과가 있다는 것을 알고 있었어?
Chat_Happening_Tip |= 아까 우물에 비친 내 모습을 보고 있었어. 병이나 양동이가 있었다면 내 얼굴과 상호작용하며 물을 채울 수 있었을 거야. 물로 채우는 거지.
Chat_Happening_Tip |= 방금 낚시 지도를 보고 있었어! 마스터 낚시꾼 트위그에게 받았어. 그는 내 스킬을 발전시키는 데 도움을 주지. 낚시 지도 탭에서 지역 지도를 열면 해당 지역에 어떤 물고기가 살고 있는지 확인할 수 있어. 정말 멋져!
Chat_Happening_Tip |= 애완동물 호루라기가 있어? <whistle>를 사용하여 반려동물을 소환하거나 집으로 보내봐. 매우 편리해!
Chat_Happening_Tip |= 땅을 파러 가려고 하는데. 개와 삽이 필요해. 생각해보니 삽은 재채기가 날 것 같아서 안 될 것 같아.
Chat_Happening_Tip |= 사람들이 나에게 한 말을 기억하려고 노력하고 있었어. NPC 상태 화면에 채팅 기록이 있었다면 좋았을 텐데. 그건 어디서 오는 걸까?
Chat_Happening_Tip |= 부러진 다리, 부서진 조각상, 폐허가 된 집들. 친구들과 함께 고치면 정말 좋지.
Chat_Happening_Tip |= 다음 여신의 날에 어떤 제물을 바칠지 고민 중이야. 이 축복이 매우 유용할 것 같아!
Chat_Happening_Tip |= 농장에 땅이 많네. 예쁘게 가꾸고 있어, 아니면 돈을 벌기 위해 생산적으로 가꾸고 있어?
Chat_Happening_Tip |= 아까 주변에 수리해야 할 집이 더 있는지 보려고 산책하러 나갔어.
Chat_Happening_Tip |= 집의 레이아웃을 바꿀까 고민 중이야. 벽을 새로 세우거나 물건을 옮길 수도 있고.
Chat_Happening_Tip |= 패링 연습을 하고 있어. 방어 타이밍을 잘 맞추면 적의 공격을 빗나가게 하고 역습의 기회를 만들 수도 있어!
Chat_Happening_Tip |= 여기서는 별다른 일이 일어나지 않아. 확인해야 할 건물 프로젝트가 없어. 건물 옆에 있는 표지판을 이용해 일꾼을 확인하는 것이 좋아. 미안, 친구들...
Chat_Happening_Tip |= 풍차를 이용해 밀가루를 갈려고 했는데 바람이 없네! 밀가루를 갈려면 바람이 필요해!
Chat_Happening_Tip |= 집에 페인트를 칠할까 고민 중이야. 색을 칠하면 집 안이 밝아질 수 있어. 페인팅은 많은 아이템에 적용할 수 있어!
Chat_Happening_Tip |= 모든 사업장에는 재고 보관함이 있다는 사실을 방금 깨달았어. 그 안에 여분의 물건을 넣고 새 재고를 주문할 수도 있지. 기적적이야!
Chat_Happening_Tip |= 저 문 근처에서 낮은 속삭임이 들렸어. 마법의 빛을 비추면 열리는 페이의 문이라고 들었어.
Chat_Happening_Tip |= 내가 결혼하는 꿈을 꿨어. 너와 나의 파이를 만들어서 러버우드에 있는 대사제님께 드렸어. 잠에서 깨어났을 때 내 사랑에게 그가 준 바인딩 밴드를 주려고 했어.
Chat_Happening_Tip |= 콘돌을 찾았어. 배우자에게 선물하면 기쁨의 수레바퀴를 발동할 수 있습니다. 이걸 침대 밑에 두어야겠어.
Chat_Happening_Tip |= 길을 걷다가 이상한 덤불을 발견했어. 처음에는 알아채기 어려웠지만 페이족은 이런 덤불을 이용해 이동하는 것 같아.
Chat_Happening_Tip |= 방금 누군가 가게에서 재고 창고에서 물건을 주문할 수 있다고 말했어. 선반을 가득 채우거나 재료를 구할 때 편리할 것 같네.
Chat_Happening_Tip |= 마을 쉼터에 대해 읽었는데, 그곳에서 집을 수리해야 하는 이재민들을 어떻게 수용할 수 있는지 궁금해.
Chat_Happening_Tip |= 내가 큰 가게를 소유하고 장부를 열어 모든 장부를 보고 판매하는 꿈을 꿨어. 지루한 꿈이지?
Chat_Happening_Tip |= 동네 가게에서 작업 일정에 대해 이야기를 나누고 있었어. 일하는 사람도 가끔은 휴식이 필요하지. 급여를 적게 주면 사기를 떨어뜨릴 수 있어.
Chat_Happening_Tip |= 심플우드 여행을 생각하고 있는데 아직 완전히 준비되지 않았어. 와드, 부적, 보조 무기, 그리고 식사와 전투 아이템을 챙기는 것이 가장 좋지!
Chat_Happening_Tip |= 어둠의 숲으로 깊숙이 들어갈수록 몬스터가 더 강해진다고 들었어. 하지만 보상으로 더 좋은 품질의 전리품을 얻을 수 있어!
Chat_Happening_Tip |= 어떤 사람이 미드우드에 들어갔다가 심하게 다쳤다고 들었어. 그는 모닥불을 발견하고 가까스로 몸을 치료했다고 하더라. 하지만 더 깊은 숲속으로 들어가서 더 크게 다쳤다고 하던데!
Chat_Happening_Tip |= 누군가 심플우드에서 구조되었다는 소식을 들었어. 그들은 그 숲의 가장 마지막 구역에 있었다고 해. 운이 좋게도 살아남았네!
Chat_Happening_Tip |= 최근에 홈스테드 북쪽에 있는 슈에 갔었어. 그곳에서 아이들의 웃음소리를 듣고 싶어. 모두 입양되었으면 좋겠어.
Chat_Happening_Tip |= 방금 친구와 퀼의 유명한 마녀사냥꾼에 대해 이야기하고 있었는데, 몬스터를 죽이면 좋은 보상을 준다고 하더군. 그는 밤에 홈스테드의 선술집 영업시간에 나타난다고 했어.
Chat_Happening_Tip |= 지역 상점이 좀 더 전문화되기를 바랐어. 상점 주인은 특정 품목에 집중하고 새로운 특전 세트를 얻음으로써 탄탄한 비즈니스를 만들 수 있지!
Chat_Happening_Tip |= 가족 스케줄러로 가족들이 서로 다른 일을 하도록 설정할 수 있다는 사실을 알고 있었어? 집안일을 돕고, 모임을 갖고, 여러 가지 일을 할 수 있어. 편리하지.
Chat_Happening_Tip |= 오늘 아침, 네이밍 너트를 발견하고 동물에게 너트를 먹인 후 붙여줄 수 있는 재미있는 애완동물 이름을 생각 중이었어.
Chat_Happening_Tip |= 무슨 일인지 말해줄게! 나는 'BOLD AS BRASS'라는 가게를 운영하고 싶어. 상점의 장부 화면에서 모든 장부를 확인하면 가게 이름을 쉽게 변경할 수 있어. 이제 브라스를 좀 벌어야겠어!
Chat_Happening_Tip |= 대사제가 내 물을 축복해주셨는데, 티르 나 노그의 요정 샘에서 특별한 물을 얻을 수 있다고 들었어.
