JournalInstructions_PAD |= <calendar> 로 달력을 엽니다.
GS_GOINSIDE |= 오, 뭘 가지고 있는지 궁금하네요.
GS_GOINSIDE |= 재밌어 보이네.
GS_GOINSIDE |= 들어가 봐야겠어
GS_GOINSIDE |= 저게 뭐지?
GS_GOINSIDE |= 좋은 물건들이 있네.
GS_GOINSIDE |= 뭔가 사야 할 것 같아.
GS_GOINSIDE |= 멋지다!
GS_GOINSIDE |= 멋진 물건들.
GS_GOINSIDE |= 디스플레이가 멋지네요.
GS_GOINSIDE |= 항상 저런 걸 갖고 싶었어요.
GS_GOINSIDE |= 그냥 둘러보는 거예요.
GS_GOINSIDE |= 잠깐 들여다보는 건 나쁘지 않아요.
GS_GOINSIDE |= 그냥 보는 거야.
GS_GOINSIDE |= 구경하는 거지.
GS_GOINSIDE |= 흠
GS_GOINSIDE |= 좋은 게 있는지 궁금해.
GS_GOINSIDE |= 잠깐만 봐요.
GS_GOINSIDE |= 흠, 뭐가 보이죠?
GS_STAYOUTSIDE |= 창문이 더러워요!
GS_STAYOUTSIDE |= 저 안에는 아무것도 없어.
GS_STAYOUTSIDE |= 위험해 보이는데.
GS_STAYOUTSIDE |= 칵! 퉷!
GS_STAYOUTSIDE |= 아무것도 없어.
GS_STAYOUTSIDE |= 안 좋아 보이는데.
GS_STAYOUTSIDE |= 재미없어.
GS_STAYOUTSIDE |= 더 좋을 수도 있어.
GS_STAYOUTSIDE |= 쓰레기더미네.
GS_STAYOUTSIDE |= 정말 쓰레기네요.
GS_STAYOUTSIDE |= 사기꾼이네.
GS_AWAITING_SERVICE |= 물물교환을 찾고 있습니다.
GS_AWAITING_SERVICE |= 흥정할 준비가 되셨나요?
GS_AWAITING_SERVICE |= 흥정해 봅시다.
GS_AWAITING_SERVICE |= 가격을 논의해 봅시다.
GS_AWAITING_SERVICE |= 흥정할까요?
GS_AWAITING_SERVICE_NO_BARTER |= 구매해도 되나요?
GS_TRADE_AWAITING_SERVICE |= 거래하고 싶어요.
GS_TRADE_AWAITING_SERVICE |= 판매할 물건이 있습니다.
GS_TRADE_AWAITING_SERVICE |= 이걸 사고 싶으세요?
GS_TRADE_AWAITING_SERVICE |= 이걸 사주실래요?
GS_TRADE_AWAITING_SERVICE |= 여기... 이것 좀 보세요.
GS_TRADE_AWAITING_SERVICE |= 소믈리에가 있어요.
GS_TRADE_AWAITING_SERVICE |= 이걸 살래요?
GS_LOOK_AT_FISH |= 신선한가요?
GS_LOOK_AT_FISH |= 우 생선.
GS_LOOK_AT_FISH |= 흠, 생선을 좀 사야 할까요?
GS_LOOK_AT_FISH |= 생선을 팔고 있네요.
GS_LOOK_AT_FISH |= 살까요? 머리, 꼬리?
GS_LOOK_AT_FISH |= 뭔가 수상한데요.
GS_LOOK_AT_FISH |= 대문짝넙치 있나요?
GS_LOOK_AT_FISH |= 냄새나!
GS_LOOK_AT_WEAPON |= 위험해 보이는데요.
GS_LOOK_AT_WEAPON |= 유용할 수도 있겠네요.
GS_LOOK_AT_WEAPON |= 보기 좋은데?
GS_LOOK_AT_WEAPON |= 날카로워 보여요!
GS_LOOK_AT_WEAPON |= 저게 정말 필요한가요?
GS_LOOK_AT_WEAPON |= 그냥 보여주기 위해서야.
GS_LOOK_AT_WEAPON |= 괴물들 조심해!
GS_LOOK_AT_WEAPON |= 날렵하네.
GS_LOOK_AT_WEAPON |= 날렵해 보여.
GS_LOOK_AT_BOOK |= 흥미로워 보이네요.
GS_LOOK_AT_BOOK |= 등골이 오싹하네요.
GS_LOOK_AT_BOOK |= 멋진 페이지 모음입니다.
GS_LOOK_AT_BOOK |= 글쓰기 책도 사야겠어요.
GS_LOOK_AT_BOOK |= 새 책으로 할 수 있습니다.
GS_LOOK_AT_BOOK |= 내가 읽을 수만 있다면.
GS_LOOK_AT_BOOK |= 퀴퀴한 냄새가 나네.
GS_LOOK_AT_BOOK |= 구매 표시를 할게요.
GS_LOOK_AT_BOOK |= 날 위해!
GS_LOOK_AT_BOOK |= 오, 초판본이네.
GS_LOOK_AT_TOOL |= 좋은 도구네요.
GS_LOOK_AT_TOOL |= 유용해 보이네요.
GS_LOOK_AT_TOOL |= 도구가 정말 많네요.
GS_LOOK_AT_TOOL |= 쓸만하네.
GS_LOOK_AT_TOOL |= 새로 사야 할까요?
GS_LOOK_AT_ITEM |= 흥미롭네...
GS_LOOK_AT_ITEM |= 유용할까?
GS_LOOK_AT_ITEM |= 오, 저런 것도 있어요?
GS_LOOK_AT_ITEM |= 저런 건 너무 많아요.
GS_LOOK_AT_ITEM |= 살지 말지 고민 중이야.
GS_LOOK_AT_ITEM |= 흠...
GS_LOOK_AT_ITEM |= 그냥 평범한 물건 같은데.
GS_LOOK_AT_ITEM |= 좋은 선물이 될 것 같네요.
GS_LOOK_AT_ITEM |= 저거 괜찮을까요?
GS_LOOK_AT_COOKED |= 맛있어 보이네요.
GS_LOOK_AT_COOKED |= 요리된 음식을 이길 순 없죠.
GS_LOOK_AT_COOKED |= 여기서부터 냄새가 나네요.
GS_LOOK_AT_COOKED |= 방금 만든 건가요?
GS_LOOK_AT_COOKED |= 오, 조리된 음식이네요.
GS_LOOK_AT_COOKED |= 맛이 좋을까요?
GS_LOOK_AT_COOKED |= 우, 식사도 팔고 있네.
GS_WORKER_UNHAPPY |= 너무 심심해.
GS_WORKER_UNHAPPY |= 으으...
GS_WORKER_UNHAPPY |= 저임금에 과로.
GS_WORKER_UNHAPPY |= 이 임금으로 어떻게 살 수 있습니까?
GS_WORKER_UNHAPPY |= 정말 귀찮아 죽겠어요.
GS_WORKER_UNHAPPY |= 이 일이 정말 싫어요.
GS_WORKER_UNHAPPY |= 의욕도 별로 없어요.
GS_WORKER_UNHAPPY |= 제 상사는 ****.
GS_WORKER_NEUTRAL |= 또 하루, 또 약간의 급여.
GS_WORKER_NEUTRAL |= 좋은 하루가 되길 바랍니다.
GS_WORKER_NEUTRAL |= 바빠 보여야지!
GS_WORKER_NEUTRAL |= 가게에서 일하다니...
GS_WORKER_NEUTRAL |= 여긴 괜찮아요.
GS_WORKER_NEUTRAL |= 오늘 손님이 좋았으면 좋겠어요.
GS_WORKER_HAPPY |= 이곳에서 일하는 것을 좋아합니다.
GS_WORKER_HAPPY |= 여기서 일하는 게 좋아요.
GS_WORKER_HAPPY |= 또 좋은 하루가 되길 바랍니다.
GS_WORKER_HAPPY |= 계속 바빠야죠.
GS_WORKER_HAPPY |= 웃는 얼굴로 서비스!
GS_WORKER_HAPPY |= 모두가 행복하길 바랍니다.
GS_WORKER_GREETING_UNHAPPY |= 네?
GS_WORKER_GREETING_UNHAPPY |= 뭘 원하세요?
GS_WORKER_GREETING_UNHAPPY |= 잠깐만요
GS_WORKER_GREETING_UNHAPPY |= 무슨 일이야?
GS_WORKER_GREETING_UNHAPPY |= 으웩
GS_WORKER_GREETING_UNHAPPY |= 뭐 살 거야, 말 거야?
GS_WORKER_GREETING_UNHAPPY |= 다음!
GS_WORKER_GREETING_UNHAPPY |= 안돼!
GS_WORKER_GREETING_UNHAPPY |= 다음은 누구야?
GS_WORKER_GREETING_UNHAPPY |= 다음은 누구야? 서둘러요
GS_WORKER_GREETING_UNHAPPY |= 다음! 시간 없어!
GS_WORKER_GREETING_UNHAPPY |= 뭐야?
GS_WORKER_GREETING_UNHAPPY |= 으웩 무슨 일이야?
GS_WORKER_GREETING_NEUTRAL |= 안녕
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요
GS_WORKER_GREETING_NEUTRAL |= 뭘 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 다음 분
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요 무슨 일이시죠?
GS_WORKER_GREETING_NEUTRAL |= 만나서 반가워요. 무엇을 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 오늘은 무엇을 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_NEUTRAL |= 네, 부탁합니다.
GS_WORKER_GREETING_NEUTRAL |= 다음 줄로 오세요.
GS_WORKER_GREETING_NEUTRAL |= 안녕하세요. 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 허름한 매장에 오신 것을 환영합니다!
GS_WORKER_GREETING_HAPPY |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다!
GS_WORKER_GREETING_HAPPY |= 안녕하세요!
GS_WORKER_GREETING_HAPPY |= 안녕하세요! 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 안녕하세요!
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다.
GS_WORKER_GREETING_HAPPY |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 이 좋은 날에 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다. 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 어서 오세요 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 어서 오세요 오늘은 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 만나서 반갑습니다. 무엇을 도와드릴까요?
GS_WORKER_GREETING_HAPPY |= 반갑습니다. 무엇을 도와드릴까요?

GS_WORKER_SALE_UNHAPPY |= 네, 감사합니다.
GS_WORKER_SALE_UNHAPPY |= 안녕.
GS_WORKER_SALE_UNHAPPY |= 으흠.
GS_WORKER_SALE_UNHAPPY |= 잘 가.
GS_WORKER_SALE_UNHAPPY |= 으으으으.
GS_WORKER_SALE_UNHAPPY |= 으으.
GS_WORKER_SALE_UNHAPPY |= 고마워요.
GS_WORKER_SALE_UNHAPPY |= 그래, 건배.
GS_WORKER_SALE_UNHAPPY |= 다음!
GS_WORKER_SALE_UNHAPPY |= (끙끙)
GS_WORKER_SALE_UNHAPPY |= 안녕.
GS_WORKER_SALE_UNHAPPY |= 그래, 안녕.
GS_WORKER_SALE_UNHAPPY |= 흠.
GS_WORKER_SALE_UNHAPPY |= 잘 가, 멍청아.
GS_WORKER_SALE_UNHAPPY |= 뭐든지요.
GS_WORKER_SALE_NEUTRAL |= 잘 있어.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 또 와.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 안녕히 가세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 고마워요 안녕히 계세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요 안녕히 계세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_NEUTRAL |= 나중에 봐요
GS_WORKER_SALE_NEUTRAL |= 당신의 관습에 감사드립니다.
GS_WORKER_SALE_NEUTRAL |= 고마워요 안녕히 계세요
GS_WORKER_SALE_NEUTRAL |= 여신도 함께 가세요.
GS_WORKER_SALE_NEUTRAL |= 고마워요.
GS_WORKER_SALE_HAPPY |= 정말 감사합니다!
GS_WORKER_SALE_HAPPY |= 곧 다시 뵙기를 바랍니다!
GS_WORKER_SALE_HAPPY |= 고객님들의 의견을 소중히 받겠습니다.
GS_WORKER_SALE_HAPPY |= 고객님께 감사드립니다.
GS_WORKER_SALE_HAPPY |= 좋은 하루 되세요!
GS_WORKER_SALE_HAPPY |= 곧 다시 뵙겠습니다!
GS_WORKER_SALE_HAPPY |= 또 오세요!
GS_WORKER_SALE_HAPPY |= 감사합니다.
GS_WORKER_SALE_HAPPY |= 구매하신 제품이 마음에 드셨기를 바랍니다!
GS_WORKER_SALE_HAPPY |= 감사합니다. 좋은 하루 되세요.
GS_WORKER_SALE_HAPPY |= 정말 감사합니다.
GS_WORKER_SALE_HAPPY |= 감사합니다. 다시 오세요.
GS_WORKER_SALE_HAPPY |= 감사합니다. 다시 오세요.
GS_WORKER_SALE_HAPPY |= 애용해 주셔서 감사합니다.
GS_WORKER_SALE_HAPPY |= 안녕히 가세요. 좋은 하루 되세요.
GS_WORKER_SALE_HAPPY |= 조심하세요 여신이 함께합니다.
GS_WORKER_SALE_HAPPY |= 좋은 하루 되세요.
GS_WORKER_SALE_HAPPY |= 당신의 관습은 축복입니다.

OpeningYourStore |= 외부 표지판과 상호 작용하여 상점을 열고 닫습니다.\n이 지역을 떠나고 고용된 직원이 없는 경우 상점은 자동으로 닫힙니다.
Ledger |= 카운터의 장부에는 사업 운영에 도움이 되는 다양한 페이지가 있는 탭이 있습니다.\nF1을 누르거나 왼쪽 스틱을 클릭하면 도움말을 볼 수 있습니다.
NoticeboardPopup |= 현재 이 알림판은 지역에서 일어나는 이벤트를 알려주는 역할을 합니다. 이제 캘린더에서 축제 녹색의 드루이다, 상품 시장, 돼지 경주, 돼지 경매 이벤트에 대한 세부 정보를 확인할 수 있습니다.
COOKING_TASK_ANY |= {0} 을(를) 위해 음식을 만들고 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_ANY |= {0} 을(를) 요리한 후에 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_ANY |= {0} 이(가) 요리한 음식을 원하니 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_ANY_NOHOUR |= {0} 을(를) 위해 음식을 요리하세요.
COOKING_TASK_VEGFRUIT |= {0} 을(를)위해 재배한 재료를 사용하여 음식을 요리하고 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_VEGFRUIT |= {0} 을(를) 재배한 식재료를 사용하여 요리한 후에 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_VEGFRUIT |= {0} 이(가) 재배한 식재료를 사용하여 요리한 음식을 원하니 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_VEGFRUIT_NOHOUR |= {0} 을(를)위해 재배한 재료를 사용하여 음식을 요리하세요.
COOKING_TASK_FISH |= {0} 을(를)위해 생성을 사용하여 요리하고 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_FISH |= {0} 을(를) 생성을 사용하여 요리한 후에 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_FISH |= {0} 이(가) 생선 요리를 원하니 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_FISH_NOHOUR |= {0} 을(를)위해 생성을 사용하여 요리하세요.
COOKING_TASK_TURNIP |= {0} 을(를)위해 순무를 사용하여 음식 요리하고 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_TURNIP_NOHOUR |= {0} 을(를)위해 순무를 사용하여 음식 요리하세요.
COOKING_TASK_PIE |= {0} 을(를)위해 파이를 만들고 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_PIE_NOHOUR |= {0} 을(를)위해 파이를 만드세요.
COOKING_TASK_SPECIFIC_ITEM |= {0} 을(를)위해 {item} 을(를) 요리하고 {1} 에서 {2} 사이에 배달하세요.
COOKING_TASK_SPECIFIC_ITEM_NOHOUR |= {0} 을(를)위해 {item} 을(를) 요리하세요.
COOKING_HEADER |= 요리사 구함.
COOKING_HEADER |= 배가 고파요!
COOKING_HEADER |= 너무 바빠서 요리할 수 없어요. 도와주세요!
COOKING_HEADER |= 요리할 수 없어요, 요리하지 않을 거예요.
COOKING_HEADER |= 패스트푸드를 원해요. 뛰어!
COOKING_HEADER |= 풍미가 필요합니다.
COOKING_HEADER |= 너무 바빠서 요리할 수 없습니다.
COOKING_HEADER_FISH |= 저녁 먹을래?
COOKING_HEADER_PIE |= 나를 채워줘. 파이로.
COOKING_HEADER_STEW |= 스튜를 끓이고 있니?
COOKING_HEADER_STEW |= 국물 좀 줘!
COOKING_HEADER_STEW |= 스튜를 끓이고 있어.
COOKING_HEADER_SOUP |= 맛있는 수프가 먹고 싶다.
COOKING_HEADER_FRUIT |= 과일 향이 물씬 풍겨.
COOKING_HEADER_VEG |= 하루에 다섯 끼를 먹어야해.
COOKING_HEADER_VEG |= 채소가 도움이 될 수 있어.
CureUseDesc |= <VAR1> 치료
CureUseSideEffectDesc |= 부작용을 동반한 <VAR1> 치료
PartialCureUseDesc |= 부분적으로 <VAR1> 치료
PartialCureUseSideEffectDesc |= 부분적으로 부작용을 동반한 <VAR1> 치료
FailedCureUseDesc |= <VAR1> 치료 실패
LOSTITEM_HEADER |= 보관자가 아닌 발견자.
LOSTITEM_HEADER |= 뭔가를 떨어뜨렸어.
LOSTITEM_HEADER |= 이런, 또 떨어뜨렸어!
LOSTITEM_HEADER |= 뭔가를 잃어버렸어!
LOSTITEM_HEADER |= 잃어버렸어!
LOSTITEM_HEADER |= 잃어버린 물건.
LOSTITEM_HEADER |= 찾는 데 도움이 필요해.
LOSTITEM_HEADER |= 물건을 잃어버렸어. 도와주실 수 있어?
WANTED_ITEM_TASK |= {0} 이(가) {1} 을(를) 원해요.
LOST_ITEM_TASK |= {0} 이(가) {2} 에서 {1} 을(를) 잃어버렸어요.
LOST_ITEM_TASK |= {0} 이(가) {2} 에서 분실한 {1} 을 찾고 있어요.
LOST_ITEM_TASK |= {0} 이(가) {2} 에서 {1} 을 잃었어요.
Uncle BillDay6BoughtPig |= 오! 돼지를 샀구나! 정말 유용할거야. 이 농장은 확실히 발전하고 있어! 잘했다! 언젠가 훌륭한 사업가가 될 것 같구나!
SiblingDay6BoughtPig |= <PlayerName>, 어떻게 그 돼지를 샀어? 분명 빌 삼촌이 기뻐하실 거야. 주도적인 모습을 보여줘서 좋네!
Lucy ArrowsDay9Intro |= 오, <PlayerName>. 내 편지를 받고 왔구나! 정말 멋져. 나는 역사와 전설을 정말 좋아해. 수년 동안 이 헨지를 연구했지만 아직 그 비밀을 풀지 못했어. 나는 개인적으로 이곳이 페이가 사는 곳으로 통하는 관문이라고 생각해. 그곳에 빛을 비추라는 오래된 노래를 발견했지.
Lucy ArrowsDay9Intro |= 내가 마법의 흔적이 있는지 보는 동안 등불 빛을 헨지에 비춰볼래? 원 위에 서서 랜턴을 켠 다음 게임 패드의 오른쪽 스틱을 사용하거나 마우스 커서를 멀리 움직여 광선의 초점을 맞춰봐.
Lucy ArrowsDay9Wrapup |= 흠, 그건 아닌 것 같네. 책을 계속 읽어보면서 다른 특별한 요구 사항이 있는지 알아볼게. 번거로웠을텐데, 도와줘서 고마워. 여기 5 브라스야.
Ash BrownDay11Intro |= 아, 내 편지를 받았구나, 아니면 그냥 온거야? 뭐 어쨌든 네가 와서 정말 다행이야. 자연책에서 '은색 스키퍼'라는 나비에 관한 글을 읽었어. 6시 이전에 얼굴 나무 옆의 빛나는 웅덩이에 배를 던지면 나타난다는 전설이 있어. 이때 병을 사용해 나비를 잡아야해!
Ash BrownDay11Intro |= 아쉽게도 이 나무가 정확히 어디에 있는지 모르지만 뻐꾸기 숲 동쪽을 살펴보면 도움이 될 거야. 내가 필요하다면 여기 있을거야. 여기 병이야! 행운을 빌어, <PlayerName>!
Ash BrownFoundButterfly |= 찾았구나! 놀라워! 전설이 사실이었다니! 정말 아름다워. 하루 종일 쳐다볼 수도 있지만 발견자가 가져야지. 너는 훌륭한 자연학자가 될거야.
Ash BrownNotFoundButterfly |= 찾았어? 난 아무것도 못 찾았어. 그 전설은 아마도 누군가 햇빛에 반짝이는 네발나비를 보고 생각했을거야. 아, 그래도 노력했잖아. 자연학자의 길을 포기하지 마.
SiblingDay13 |= 아, 왔구나. 너무 아쉬워서 진짜 부모님이 궁금했어. 어딘가에 계실까? 다시 만날 수 있을까?
SiblingDay13 |= 성인이 되자마자 베일을 떠나기로 마음 먹었어. 설명하기는 어렵지만 이곳에서 숨이 막히는 느낌이 들어.
SiblingDay13 |= 너도 나와 함께 가면 좋겠어. 그러면 우리는 우리 스스로 살고 싶은 대로 살 수 있어. 그리고 여신들이 우리를 부르면, 우리는 기꺼이 그들 곁으로 가서 들판을 달리며 그들의 자식처럼 행복하게 지낼 거야.  행복하고 자유롭게. 어쨌든 농장으로 돌아가는 게 좋겠어. 할 일이 있으니까.
Uncle BillDay9 |= 안녕. <SiblingName> 은(는) 아까 조금 울컥한 것 같았어. 오랫동안 머리에 낀 안개를 걷어내기 위해 북문 주변을 산책하러 간다더구나. 무슨 일인지 확인해주겠니? 오랜만에 농장을 떠나는 거잖니.
Uncle BillDay9 |= 외출하는 동안 모스위스퍼의 오래된 무너진 다리에 가보는건 어떠니? 친구 몇 명과 함꼐 다리를 수리해 보렴.
Pappy CoweBumpaINTRO |= 어이 너! 물어볼 게 있어. 문제가 생겼어. 난 우유를 좋아해. 젖소 우유도 괜찮지만 크림 같은 맛은 한계가 있어. 나에게 필요한 것은 우유를 짜기에 적합한 종류의 생물이야. 바로 네가 필요해.
Pappy CoweBumpaINTRO |= 네가 페이를 보고 찾아가는 방법을 안다는 소문을 들었어. 그리고 요정 생물인... 블로발로바바바 같은 바보 같은 존재가 있다는 것도 오래전부터 잘 알고 있어. 그 중 한 마리의 젖이 멜로우필드의 로네 젖보다 더 진하다고 하더라고. 죽어서 도룡뇽이 되어 돌아오기 전에 그 젖을 먹어보고 싶어.
Pappy CoweBumpaINTRO |= 그 중 하나에서 우유를 가져다 주면 내 가족 비밀 상자의 암호를 줄게. 내 끔찍한 가족은 내 가보를 손에 넣을 자격이 없어!
BUMPATASK_TITLE |= 패피를 위한 블로발로바바바 우유
BUMPATASK_DESC |= 패피를 위해 블로발로바바바에게서 우유를 얻으세요.
NewMail |= 편지가 온 것 같아
NewMail |= 우편함에 새 편지가 도착했어.
GoddessDayReminder |= 예배를 드렸어?
GoddessDayReminder |= 자정까지 여신의 은총을 얻자!
GoddessDayReminder |= 오늘은 여신의 날이야. 예배를 드렸어?
GoddessDayReminder |= 이번 여신의 날에는 어떤 축복을 기원할거야?
GoddessDayReminder |= 너는 여신에게 제물을 바치는 것을 좋아하는 것 같네요!
GoddessDayReminder |= 오늘 제물을 바쳤어?
GoddessDayReminder |= 예배의 날입니다! 축하하자!
GoddessDayReminder |= 이번 주에 내 제물이 도움이되길 바라.
GoddessDayReminder |= 안녕 은빛 낫! 나는 좋은 축복을 좋아해.
GoddessDayReminder |= 예배에서 좋은 작물을 얻었어, 아니면 나쁜 쓰레기를 얻었어?
CookedMealReactionPoor |= 음, 최선을 다 한 것 같아.
CookedMealReactionGood |= 그거 의외로 맛있었어. 마더 허바드가 만드는 법을 가르쳐 주었어? 너는이 요리의 달인같아.
CookedMealReactionGood |= 누군가의 애정을 얻는 한 가지 방법은 그들의 입맛을 즐겁게 하는 거야! 정말 맛있는 식사였고 즐거운 시간을 보냈어. 고마워, <PlayerName>. 
CookedMealReactionGood |= 한 입 먹을 때마다 너를 더 사랑하게 되었고, 매일 행복하게 먹을 수 있었어.
CookedMealReactionGood |= 정말 낭만적이었어. 하지만 접시는 설거지하지 않을거야. 부드러운 손을 관리해야 하거든. 언젠가는 고마워할지도 몰라!
CookedMealReactionGood |= 정말 즐거운 식사였어. 한 입 먹을 때마다 행복했어.
CookedMealReactionGood |= 잘 차려진 식탁에 둘러앉아 함께 나누는 식사보다 더 매력적인 것은 없어.
CookedMealReactionGood |= 정말 멋졌어요! 기술과 정성을 다해 요리하는구나. 언젠가 디저트가 추가되기를 기대하고 있어.
CookMealPrep |= 집이 멋지고 아늑하네.
CookMealPrep |= 무엇을 만들거야?
CookMealPrep |= 너의 작품을 맛보고 싶어.
CookMealPrep |= 좋은 냄새... 으으으음.
CookMealPrep |= 바닥은 누가 했어?
CookMealPrep |= 정말 멋지네.
CookMealPrep |= 난 손재주가 좋은 사람이 좋아.
CookMealPrep |= 너만큼 맛있길 바라.
CookMealPrep |= 난 요리하는 거 좋아해. 향이...
CookMealPrep |= 글루텐 프리인야? 그리고 글루텐이 뭔야?
VisitPlaceReaction |= 여기 너무 예뻐요.
VisitPlaceReaction |= 여기는 너무 사랑스러워.
VisitPlaceReaction |= 이곳은 즐거운 곳이야.
VisitPlaceReaction |= 나는 항상 이곳을 좋아했어.
VisitPlaceReaction |= 공기에서 좋은 냄새가 나네.
VisitPlaceReaction |= 로맨틱하지 않아?
VisitPlaceReaction |= 아주 목가적이네.
VisitPlaceReaction |= 여기 너와 나 그리고 곤충들뿐이잖아.
VisitPlaceReaction |= 감시하는 여신들만 빼면 우리 둘뿐이야.
VisitPlaceReaction |= 정말 아름다운 곳이야.
VisitPlaceReaction |= 난 여기가 좋아.
VisitPlaceReaction |= 여기 좋네.
VisitPlaceReaction |= 아, 너무 평화로워.
VisitPlaceReaction |= 로맨틱하지 않아?
VisitPlaceReaction |= 난 여기가 정말 좋아.
VisitPlaceReaction |= 여기 자주 와?
VisitPlaceReaction |= 세상에는 아름다운 것들이 너무 많아.
VisitPlaceReaction |= 드디어 혼자야.
VisitPlaceReaction |= 여기 있으면 내면의 평화가 찾아와.
VisitPlaceReaction |= 사람들의 시선으로부터 벗어나. 여신들만 빼고.
VisitShowReaction |= 나는 펍에 오는 것을 좋아하지만... 이번엔 좀 더 특별하네.
VisitShowReaction |= 여기 분위기가 좋네. 지금처럼 데이트하기에 딱이다.
VisitShowReaction |= 활기찬 술집과 술 냄새, 구토 냄새를 데이트에 비교할 수는 없지. 응, 내 생각인 거 알아.
VisitShowReaction |= 정말 재미있어! 여기 정말 좋아!
VisitShowReaction |= 이곳에 자주 와? 예전에 이곳에서 몇 번 데이트한 적이 있는데, 술 한 잔과 여흥을 즐기며 특별한 사람을 알아가는 게 정말 즐거워.
VisitShowReaction |= 다음은 누구 차례야? 말해봐, 이걸 받으면 나중에 내가 가져다줄게.
DateGiftReaction |= 나한테?
DateGiftReaction |= 아, 그러지마.
DateGiftReaction |= 선물? 난 축복받았어.
DateGiftReaction |= 로맨틱하다!
DateGiftReaction |= 자상하네.
DateGiftReaction |= 넌 정말 다정해.
DateGiftReaction |= 이 빵에 버터를 바르는 법을 알아!
DateGiftReaction |= 정말 친절하구나.
DateEndingBadly |= 잘 안됐어.
DateEndingBadly |= 이번 데이트가 특별하길 원한다고 했잖아!
DateTooLate |= 데이트하기엔 너무 늦었어 집에 가야 해.
DateArrived |= 왔구나, 올 줄 알았어.
DateEnjoyable |= 오늘 너와 함께해서 정말 좋았어. 언젠가 다시 만나고 싶어.
MarriageStrollTooLate |= 너무 늦었어, 이제 집에 가야 해.
MarriageTaskEndingBadly |= 결혼할 뻔했는데 정말 가슴이 아파!
PlayMusicReaction |= 재능이 대단하다.
PlayMusicReaction |= 나가! 넌 음유시인이야!
PlayMusicReaction |= 감미로운 음악이군.
PlayMusicReaction |= 우리처럼 사랑스러운 멜로디야.
PlayMusicReaction |= 내 마음이 나방처럼 설레네.
PlayMusicReaction |= 너무 달콤해!
PlayMusicReaction |= 내 귀에 음악이 들려요.
PlayMusicReaction |= 날 유혹하려는 거야?
PlayMusicReaction |= 너의 멜로디가 좋아.
PlayMusicReaction |= 내가 아는 곡을 연주해줘.
PlayMusicReaction |= 당신이 만드는 음악은 정말 감미롭군.
PlayMusicReaction |= 라라라라
PlayMusicReaction |= 이 음악으로 마음을 녹일 수 있어요.
PlayMusicReaction |= 난 아름다운 음악에 약해
PlayMusicReaction |= 너무 매혹적이야
PlayMusicReaction |= 난 록 음악을 좋아해. 막대기로 바위를 치는 거말야.
BindingBandAccepted |= 여신의 축복이 있기를! 이제 날짜를 정해야해!
BindingBandAccepted |= 우리 결혼이 시작되었어! 정말 행복한 날이야! 사랑해!
BindingBandAccepted |= 오, 밴드! 진심으로 받아들일게. 날짜를 선택하자.
BindingBandAccepted |= 내가 본 것 중 가장 아름다운 바인딩 밴드야! 우리는 특별히 축복받아야해. 당신은 당신의 가치를 증명했고, 나는 진정으로 당신의 것이야.
BindingBandAccepted |= 으아 결혼! 날짜를 정하자!
BindingBandRejected |= 나를 위한 것이 아니야. 미안해. 아직은 때가 아니라고 생각해.
